imagen,media_orig,media_equal,std_orig,std_equal,delta_std,entropia_orig,entropia_equal,delta_entropia,michelson_orig,michelson_equal,delta_michelson
1013.png,34.12,131.49,42.8,69.8,27.0,6.238,5.971,-0.267,0.991,0.888,-0.103
1033.png,23.77,133.61,42.62,68.86,26.25,5.517,5.205,-0.312,0.992,0.909,-0.083
1045.png,24.82,131.96,31.2,71.49,40.28,5.625,5.383,-0.243,0.988,0.924,-0.064
1088.png,32.5,129.79,34.21,72.39,38.18,6.3,6.071,-0.229,0.969,0.969,0.0
